목록,국가,책이름,시리즈,저자,역자,출판사,초판,장서
1-1-2,한,쾌도남담 삼국지 죽이기,,,이형근,미토스북스,2004.6.20,2005.1.20
1-1-2,한,삼국지를 읽다,,吕思勉(여사면),정병운,유유,2012.4.4,
1-1-2,한,삼국지 바로 읽기 1,,김운희,,삼인,2004.12.10,
1-1-2,한,코믹 삼국지,,최승태,,하움,2022.6.13,
1-1-2,한,다시 조명해 보는 삼국지 황건적,,유가원,,아지랑이,2009.7.5,2009.7.10
1-1-2,한,삼국지 사이언스,,김태호 이정모,,휘슬러,2004.2.25,2004.3.5
1-1-2,한,삼국지가 울고 있네(너무나 잘못 옮겨진 한국의 삼국지),,리동혁(중),,금토,2003.8.18,
1-1-2,한,역사 삼국지(군웅할거에서 통일전쟁까지 184~280),,최진열,,미지북스,2022.4.25,
1-1-2,한,原本懸吐 三國誌,2~5,,,서울세창서관,,
1-1-2,한,매니아를 위한 삼국지,,정원기,,청양,2000.4.10,
1-1-2,한,东西三国志 1草野,,,許文列, 东西文化社,1981.5.10,
1-1-2,한,김동리 삼국지,1-5,김동리,,한결미디어,2008.12.10,
1-1-2,한,술술 삼국지 1,,허우범,,성안당,2021.3.2,
1-1-2,한,김운회 교수의 삼국지 바로 읽기 2,,김운회,,삼인,2004.12.10,
1-1-2,한,삼국지 기행,,허우범,,성안당,2009.10.30,
1-1-2,한,장정일 삼국지 1,1-10,장정일,,김영사,2004.11.17,2004.11.25
1-1-2,한,설민석의 삼국지 1,,설민석,,세계사컨텐츠그룹,2019.7.17,
1-1-2,한,삼국지평화,,정원기,,청양,2000.5.27,
1-1-2,한,과학으로 보는 삼국지,,이종호,,문화유람,2009.4.3,
1-1-2,한,삼국지 필사,,,,,,
1-1-2,한,삼국지신문,,나채훈,,실천문학,1997.11.7,
1-1-2,중한,웨안텅페이 삼국지 강의,,위안텅페이,심규호,라의눈,2016.8.25,2016.10.31
1-1-2,중한,"삼국지, 그 감춰진 진실을 찾아서",,方北辰 谭良啸,김은주 위조관,신아사,2017.11.15,
1-1-2,중한,다르게 읽는 삼국지 이야기,,심백준,정원기,책이있는마을,2001.5.24,
1-1-2,중한,삼국지평화,,신정민,김영문,교유당,2020.11.27,2020.12.7
1-1-2,중한,삼국지 사실과 허구를 말하다,,뤄지푸,양성희 이지은,아리샘,2009.4.10,
1-1-2,중한,삼국지 교양강의,,리둥팡,문현선,돌베개,2010.9.20,
1-1-2,중한,진실탐지 三國志 백배 즐기며 읽는다,,常一诺,유혜순,북토피아,1999.5.25,
1-1-2,중한,우리가 정말 알아야 할 삼국지 상식 백가지,,서전무,정원기 최계량,현암사,2005.12.30,
1-1-2,중일,実録三国志,,于涛,鈴木博,青土社,2008.5.30,2008.6.10
1-1-2,일한,삼국지의 세계 -역사의 이면을 보다,,김문경,송완범 신현승 전성곤 ,사람의무늬,2011.8.10,2011.8.30
1-1-2,일한,소설 삼국지외전,,미요시 토루,박현석,주변인의길,2003.6.25,2003.7.1
1-1-2,일한,삼국지에서 성공을 읽는다,,조오노 히로시,강태정,서지원,1996.9.15,1996.9.20
1-1-2,일한,反三国志,,周大荒,渡辺精一,講談社,1991.9.20,1992.1.20
1-1-2,일한,속삼국지 1 망국원한편,,無外者,이원섭,明文堂,2005.8.25,
1-1-2,일,集中講義 三国志,,渡邊義浩,,NHK出版,2017.7.30,2022.9.15
1-1-2,일,一冊でつかむ三国志,,渡邉義浩,,河出書房新社,2024.8.20,2024.8.30
1-1-2,일,最強の男――三国志を知るために,,竹内真彦,,春風社,2020.9.26,
1-1-2,일,三国志 その終わりと始まり,,上永哲矢,,三栄,2018.1.5,
1-1-2,일,「三国志」の知恵,,狩野直禎,,法藏館,2019.11.15,
1-1-2,일,三国志の虚実,,菅野正則,,新日本出版社,2010.6.25,
1-1-2,일,三国志 第1巻 転形期の軌跡,,丸山松幸,,徳間書店,1979.6.10,
1-1-2,일,本当はこうだった! 三国志の嘘と真実,,三国志の謎研究会,,宝島社,2017.2.22,
1-1-2,일,三国志銘銘伝,,渡辺精一,,光村図書出版,1984.3.15,
1-1-2,일,今こそ知りたい三国志,,東由士,,英和出版社,2019.8.1,
1-1-2,일,大人が読みたい三国,,プラネットライツ,,三栄書屋,2016.10.8,
1-1-2,일,三国志 合戦読本,,渡辺精一,,宝島社,2017.3.13,
1-1-2,일,三国志1 転形期の軌跡,,中国の思想刊行委員会,丸山松幸 中村愿,徳間書店,1979.6.10,
1-1-2,일,吉川英治 三国志 (一),,吉川英治,,六興出版,1956.11.20,1980.1.20
1-1-2,,"무후사, 그 안에서 본 삼국지",,谭良啸 方北辰 ,김은주 위조관,신아사,2017.11.15,
1-1-2,,삼국지 사화,,林亮,,立风书房,1987.6,
1-1-2,,삼국지 10권,,吉川英治,,,1956.11.20,1980.1.20
1-1-2,,삼국지 5권,,요시가와 에이지,이인광,광학사,1975.4.2,
1-1-2,,비본 삼국지 6권,,진순신,,문춘문고,1982.9.25,1985.7.30
1-1-2,,수필 삼국지,,"모리야히로시 하나타
키요데루",한용득,가정문0,1981.2.15,
1-1-2,,극화 대삼국지 12권,,瑞文堂,,홍콩新雅문화사업,1981.2.28,
1-1-2,,"사설 삼국지(天只华，地之风 1,2권)",,江林備,,光風社,1987.1.20,1987.2.1
1-1-2,,삼국지의 세계,,駒田信二,,集英社,1981.7.20,
1-1-2,,삼국지(희망 comics) 60권(1-39권 보유),,横山光辉,,潮出版社(동경),1984.9.20,1987.8.30
1-1-2,,삼국지 사전(횡산광휘의 희망),,,,潮出版社,1983.4.28,1993.3.20
1-1-2,,"삼국지(anime comics)(원작:"" 횡산광휘)",,,,潮出版社,1985.6.1,
1-1-2,,삼국지(family computer guidebook),,,,koei,1988,
1-1-3 사전,,,,,,,,
1-1-3,한,삼국지와 함께 떠나는 한자여행,,조병덕,,동양문고,1997.12.1,1999.6.15
1-1-3,한,삼국지인명록 上,,도경알/도경국,,불잉걸,2000.3.10,2000.3.15
1-1-3,한,삼국지인명록 下,,도경알/도경국,,불잉걸,2000.3.10,2000.3.15
1-1-3,한,주석으로 쉽게 읽는 고정욱 삼국지,,고정욱,,애플북스,2022.1.7,2024.5.28
1-1-3,한,고사성어로 읽는 정사 삼국지,,정원제,,이로츠,2022.10.6,2022.10.17
1-1-3,한,삼국지 사자성어 해설법,,차정식,,진한엠앤비,2018.6.10,2018.6.20
1-1-3,한,삼국지인명록(上),,도경일 도경국',,불잉걸,2000.3.15,
1-1-3,중한,三國志事典,,심백준 담량소,정원기,범우사,2000.2.10,
1-1-3,중,新校本三国志注附索引一,,杨家洛,,鼎文书局,,
1-1-3,일,三国志合戦事典 Truth In History,,藤井勝彦,,新紀元社,2010.12.20,
1-1-3,일,三国志 人物小事典,,村石利夫,,PHP研究所,1999.1.6,
1-1-3,일,三国志人物事典,,小出文彦,,新紀元社,21999.1.1,
1-1-3,일,三国志全人名事典,,『中国の思想』刊行委員会,,徳間書店,1994.11.30,
1-1-3,,삼국지 인물사전,,渡辺精一,,講談社,1989.8.15,1991.6.25
1-2 삼국지연의,,,,,,,,
1-2-1 <삼국지연의>,,,,,,,,
1-2-1,중한,정역삼국지 ,1-10,나관중,정원기,현암사,2008.10.25,
1-2-1,한,삼국지,,나관중,김하중,금성출판사,1978.1.30,1981.3.15
1-2-1,한,소설 삼국지 제1권 도원결의,,정비석,,고려원,1985.2.5,
1-2-1,한,정사소설 삼국지 제1권 천하대란,,유길만,,한국방송출판사,2003.11.24,
1-2-1,한,정사소설 삼국지 제2권 영웅쟁패,,유길만,,한국방송출판사,2003.11.24,
1-2-1,한,삼국연의 上,,나관중,손문흠,다락원,2006.9.22,2019.3.29
1-2-1,중한,삼국지1,,나관중 모종강,송도진,글항아리,2019.4.26,2021.1.28
1-2-1,중한,三國志 제1권 도원결의,,나광중,이광복,대교출판,1997.9.20,2000.1.20
1-2-1,중한,古本完驛 三國志 3,,나관중,정소문,원경,2000.12.5,
1-2-1,중한,完譯 三國志,,罗贯中 ,正音社,正音社,1956.8.20,
1-2-1,중한,直譯三國志 1,,,伏翁 成元奎,伏翁軒舍,1992.3.25,
1-2-1,중한,삼국지,1-10,나관중,박태원,깊은샘,2008.4.29,
1-2-1,중한,三国演义 桃园结义 1 <모종강본> 완역,,나관중,박기봉,비봉출판사,2014.11.26,
1-2-1,중한,定本三国志 제1권 도원결의,,나관중,"연변대학
삼국연의 번역조",청년사,1990.8.25,1992.9.15
1-2-1,중한,삼국지 1 도원에 피는 의,,나관중,이문열,민음사,1988.5.30,2018.12.24
1-2-1,중한,정본완역 삼국지,,나관중,김구용,솔출판사,2000.7.20,
1-2-1,중한,삼국지 제1권 도원에 피는 봄,,나관중,김홍신,대산출판사,2000.3.18,
1-2-1,중한,고본완역 삼국지 1,,나관중,정소문,원경,2000.12.5,
1-2-1,중한,삼국지1 도원에 피는 의,,나관중,이문열,알에이치코리아,2020.3.25,
1-2-1,중한,삼국지 제1권,,나관중,禹玄民,박영사,1980.12.15,
1-2-1,중한,삼국지,,나관중,한무희,일신서적출판사,1998.1.10,
1-2-1,중한,大三国志 <全11卷>,,나관중,金龍濟,대양인쇄사,1981.8.30,
1-2-1,중한,삼국지(1권),,나관중,황병국,범우사,1984.8.10,1995.2.10
1-2-1,중한,삼국연의 1 도원결의편,,罗贯中,林静,太原出版社 서울사무소,1990.9.10,1991.6.31
1-2-1,중한,삼국지 1,,나관중,박정수,青木,1999.7.20,1999.7.30
1-2-1,중한,삼국지 1,,나관중,황석영,문학출판부,2003.7.10,
1-2-1,중한,三國誌 <卷一> 도원결의편,,나관중,김동성,乙酉文化社,1960.1.30,1961.3.30
1-2-1,중한,삼국지 ,,나관중,박태호,박문서관,,
1-2-1,중한,三國誌 卷之一,,나관중,서인국,평범사,1952.6.10,
1-2-1,중한,國文原本 三國志 ,1~5,나관중,,世昌書館,,
1-2-1,중한,新譯三國志 1 桃園篇 群星篇,,,양주동,進賢書館,1976.6.10,
1-2-1,중한,三國志 1 난세의 영웅편,,나관중,박종화,,1996.2.10,
1-2-1,중한,三國志<上>,,나관중,최영해,정음사,1970.11.30,
1-2-1,중한,三國志 1,,나관중,김광주,삼중당,,
1-2-1,중,全本三国演义,"金协中,三宝生",,,天天出版社,2024.1,2024.4
1-2-1,중,三国不演义,三国演义,王觉仁,,河南文艺出版社,2021.7,
1-2-1,중,三国不演义2,三国演义,王觉仁,,河南文艺出版社,2021.11,
1-2-1,중,趣味名著 三国演义,,铁皮人美术,,"幼福文化事业
股份有限公司",2009.6,
1-2-1,중,三国演义(中国经典名著·全彩回本）,,耿雨,,吉林文史出版社,2023.2,
1-2-1,중,三国演义,"小学生课外必读经典丛书·
美绘注音版",罗贯中,,南京大学出版社,2021.3,
1-2-1,중,삼국연의 1,,나관중,김광렬/최옥실,외문출판사,2022,
1-2-1,중,삼국연의 2,,나관중,김광렬/최옥실,외문출판사,2022,
1-2-1,중,삼국연의 3,,나관중,김광렬/최옥실,외문출판사,2022,
1-2-1,중,삼국연의 4,,나관중,김광렬/최옥실,외문출판사,2022,
1-2-1,중,삼국연의 5,,나관중,김광렬/최옥실,외문출판사,2022,
1-2-1,중,삼국연의 6,,나관중,김광렬/최옥실,외문출판사,2022,
1-2-1,중,三国演义 上,古插图大字版,罗贯中,,时代文艺出版社,2020.1,
1-2-1,중,三国演义 下,古插图大字版,罗贯中,,时代文艺出版社,2020.1,
1-2-1,중,三国演义,彩绘版国学经典名著,罗贯中,,中国文联出版社,2022.8,
1-2-1,중,评书三国演义 五 ,,罗贯中,,,,
1-2-1,중,全本 三国演义 一,,罗贯中,,中国少年儿童出版社,2017.8,2022.1
1-2-1,중,全本 三国演义 二,,罗贯中,,中国少年儿童出版社,2017.8,2022.1
1-2-1,중,全本 三国演义 三,,罗贯中,,中国少年儿童出版社,2017.8,2022.1
1-2-1,중,全本 三国演义 四,,罗贯中,,中国少年儿童出版社,2017.8,2022.1
1-2-1,중,三国演义 上,四大名著大字本,罗贯中,,人民文学出版社,2019.6,2024.6
1-2-1,중,三国演义 下,四大名著大字本,罗贯中,,人民文学出版社,2019.6,2024.6
1-2-1,중,三国演义,阅读指导目录丛书,罗贯中,,作家出版社,,
1-2-1,중,三国演义 上 插图典藏版,,罗贯中,,作家出版社,2018.1,2021.3
1-2-1,중,三国演义 下 插图典藏版,,罗贯中,,作家出版社,2018.1,2021.3
1-2-1,중,反三国演义 上册,,周大荒,,江西美术出版社,2018.1,2020.5
1-2-1,중,反三国演义 下册,,周大荒,,江西美术出版社,2018.1,2020.5
1-2-1,중,三国演义 （上）,中国文学全集,罗贯中,陈雅莉,大千文化出版社,1992.8,
1-2-1,중,三国演义故事,绘画文学故事词典,,,上海辞书出版社,1993.4,1993.9
1-2-1,중,桃园三结义,三国志 第1卷,横山光辉,刘子达,新星出版社,2021.8,
1-2-1,중,汉室之风云,三国志 第2卷,横山光辉,马研,新星出版社,2021.8,
1-2-1,중,董卓讨伐军,三国志 第3卷,横山光辉,马泽园,新星出版社,2021.8,
1-2-1,중,吕布与曹操,三国志 第4卷,横山光辉,王玥,新星出版社,2021.8,
1-2-1,중,徐州谋略战,三国志 第5卷,横山光辉,董嘉绒,新星出版社,2021.8,
1-2-1,중,삼국지,"초등학생을 위한
세계 명작 41",나관중,시바타 카츠모,은하수미디어,2022.4.20,
1-2-1,중,三国演义,彩图中国古典名著,巴穆,,内蒙古少年儿童出版社,2000.1,
1-2-1,중,三国演义儿童绘画本-妈妈教我看三国,,周岳峰,,哈尔滨出版社,1995.4,
1-2-1,중,三国演义  少儿版,,佟子华,,吉林摄影出版社,2000.8,
1-2-1,중,桃园结义,三国演义之1,,,上海人民美术出版社,1979.4,1979.5
1-2-1,중,董卓进京,三国演义之2,,,上海人民美术出版社,1979.4,1979.5
1-2-1,중,虎牢关,三国演义之3,,,上海人民美术出版社,1979.4,1979.5
